id,title,description,genres,imdb_rating,views,ismovie,media_type_name,lang_id,language_name
17098,Epifania,"Epiphany : Mientras secretos familiares enterrados durante mucho tiempo salen a la superficie, una joven lucha por construir una relación con su padre.","Drama, Family",4.3,33667,1,Movie,4,Español
17099,El Compromiso Falso,"Tras perder el corazón en El Precio del Amor, un popular reality show de citas que une a veinteañeras con un joven soltero con éxito económico, la profesora Hanna Knight ha regresado a su vida en un pequeño pueblo de Colorado y ha seguido adelante con su vida. Pero su tranquila vida se ve interrumpida bruscamente cuando Will Preston, el galán que le rompió el corazón en televisión nacional, aparece inesperadamente con una propuesta de matrimonio descabellada.","Comedy, Drama, Romance",6.3,1018917,1,Movie,4,Español
17101,Primeiro Ano,O filho de um devoto pregador deixa o seu lar protetor para começar a faculdade e conhece uma aluna autossuficiente que vai testar o seu coração e a sua fé.,Drama,5.2,353829,1,Movie,67,Português
17102,Encontrando Faith,"Finding Faith : baseia-se numa compilação de acontecimentos reais que o xerife Mike Brown investigou através da sua força-tarefa de Crimes contra Crianças na Internet. Num recente anúncio de utilidade pública da Safe Surfin' Foundation, uma destas vítimas contou corajosamente a história de como foi raptada por um predador de crianças e como permaneceu em cativeiro durante três dias antes de ser resgatada pela polícia.","Drama, Crime, Family",6.1,65004,1,Movie,67,Português
17103,Rico en Espíritu,Um pastor da igreja local torna-se objeto de desejo de uma mulher cristã.,Comedy,4.7,49459,1,Movie,4,Español
17104,A Lista,"Em depressão, Jack Stone decide assumir o controlo da sua vida, fazer uma lista como seu guião e partir para viver à sua maneira.",Drama,5.9,166399,1,Movie,67,Português
17105,Mr. Barrington,A mysterious stranger (Brian McCardie) affects the welfare of an agoraphobic poet (Jennifer Nichole Porter).,"Drama, Thriller",5.5,29816,1,Movie,1,English
17106,O Circulo de Oração,"Quando um jovem ex-recluso em busca de orientação se junta a um grupo de oração, os membros encontram um ponto em comum que muda as suas vidas.",Drama,5.8,288219,1,Movie,67,Português
17107,Força Motriz,Um homem luta contra a fé e o perdão depois de um acidente de viação causado por um condutor embriagado ter tirado a vida à sua filha.,Drama,5.8,521893,1,Movie,67,Português
17108,Pastor Jones: Mi Hermana Te Ama,"Desde que murió su amada esposa, el pastor Jones ha evitado enredos románticos por dolor y respeto.","Drama, Romance",5.6,17663,1,Movie,4,Español
17109,Periodt,"A promiscuous businesswoman gets spiritual help through her friend's pastor's prayers, causing surprising changes in her love life. With Robert Ri'chard, Nicole Alexander, Patrice Lovely.",Comedy,6.4,8495,1,Movie,1,English
17110,Pastor Jones: Hermanas en Espíritu 2,"El pastor Jones (Jean Claude Lamarre) descubre que su mentor y consejero espiritual, quien acaba de fallecer, es en realidad su padre biológico. Y que las dos hermanas que han estado compitiendo por sus atenciones son en realidad sus medias hermanas.",Drama,4.1,12323,1,Movie,4,Español
17111,The Stolen Valley,"To save her dying mother, Mexican Navajo mechanic Lupe Reyes seeks help from the father she has never met. She accidentally helps an outlaw cowgirl rob a pawn shop and the two continue the journey together.","Action, Drama, Western",4.6,31932,1,Movie,1,English
17127,El Capitán Alatriste,"En el siglo XVII, Diego Alatriste, soldado del ejército del rey Felipe IV de España, regresa de la guerra para cuidar del hijo de su amigo. Posteriormente, es contratado para asesinar al príncipe de Gales.","Action, War",6.1,182875,1,Movie,4,Español
17131,Nunca Ouvi,"Never Heard : Enquanto o pai passa a vida na prisão, Jalen é atraído para o mundo da droga de Los Angeles. Tudo o que o impede de seguir os passos do pai é o poder da oração, enquanto uma rapariga que ele conhece na igreja lhe mostra que a vida oferece outros caminhos.","Drama, Thriller",5.7,627155,1,Movie,67,Português
17132,Pastor Jones: Voces Celestiales,"Pastor Jones : Heavenly Voices El querido pastor Jones enfrenta otra crisis. Dado que la iglesia no puede pagar un préstamo, su famoso coro está en peligro. Para salvarlo, el pastor debe reunir a las líderes del coro, Tammy y Louise, quienes están en disputa.",Drama,4.4,21289,1,Movie,4,Español
17133,A Ressuscitação de Um Morto,"Dead Man Rising Depois de contemplar os horrores de execuções anteriores com recurso a novas drogas experimentais, um condenado à morte em busca de informações sobre a melhor forma de enfrentar a sua morte iminente vê-se a evoluir para um cristão fervoroso.","Action, Drama",6.6,234822,1,Movie,67,Português
